id_Participantes;;id_Acidente;;pessoas;;mortos;;feridos_leves;;feridos_graves;;ilesos;;ignorados;;feridos;;veiculos;;;
305;,;305;,;2;,;0;,;0;,;0;,;1;,;1;,;0;,;2;");";;
306;,;306;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
307;,;307;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;1;");";;
308;,;308;,;2;,;0;,;2;,;0;,;0;,;0;,;2;,;1;");";;
309;,;309;,;1;,;0;,;0;,;1;,;0;,;0;,;1;,;1;");";;
310;,;310;,;5;,;0;,;4;,;0;,;1;,;0;,;4;,;2;");";;
311;,;311;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;3;");";;
312;,;312;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;
313;,;313;,;49;,;2;,;17;,;28;,;1;,;1;,;45;,;4;");";;
314;,;314;,;2;,;0;,;0;,;0;,;1;,;1;,;0;,;2;");";;
315;,;315;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
316;,;316;,;6;,;0;,;5;,;0;,;1;,;0;,;5;,;3;");";;
317;,;317;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
318;,;318;,;4;,;1;,;0;,;0;,;1;,;2;,;0;,;2;");";;
319;,;319;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
320;,;320;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
321;,;321;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;
322;,;322;,;1;,;0;,;0;,;1;,;0;,;0;,;1;,;1;");";;
323;,;323;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
