idPart;;idAcidente;;Carona Moto;;Carroceiro;;Ciclista;;Condutor;;Motociclista;;Não Inf.;;Outros;;Passageiro;;Pedestre;
259;,;259;,;0;,;0;,;0;,;3;,;1;,;0;,;0;,;4;,;1;");"
260;,;260;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
261;,;261;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;1;,;0;");"
262;,;262;,;0;,;0;,;2;,;1;,;5;,;0;,;0;,;0;,;2;");"
263;,;263;,;0;,;0;,;2;,;1;,;3;,;0;,;0;,;0;,;7;");"
264;,;264;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;2;,;0;");"
265;,;265;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
266;,;266;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
267;,;267;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;3;,;0;");"
268;,;268;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");"
269;,;269;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;2;,;1;");"
270;,;270;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;3;,;0;");"
271;,;271;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
272;,;272;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
273;,;273;,;0;,;0;,;0;,;0;,;2;,;0;,;0;,;2;,;0;");"
274;,;274;,;0;,;0;,;1;,;1;,;0;,;0;,;0;,;0;,;0;");"
275;,;275;,;0;,;0;,;0;,;5;,;0;,;0;,;0;,;3;,;1;");"
276;,;276;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;1;");"
277;,;277;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;2;,;0;");"
278;,;278;,;0;,;0;,;0;,;2;,;2;,;0;,;0;,;0;,;1;");"
279;,;279;,;1;,;0;,;0;,;2;,;0;,;0;,;0;,;0;,;0;");"
280;,;280;,;2;,;0;,;2;,;5;,;4;,;0;,;0;,;2;,;3;");"
281;,;281;,;0;,;0;,;0;,;1;,;3;,;0;,;0;,;0;,;0;");"
282;,;282;,;1;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
283;,;283;,;0;,;0;,;0;,;2;,;1;,;0;,;0;,;0;,;1;");"
284;,;284;,;0;,;0;,;1;,;1;,;1;,;0;,;0;,;0;,;1;");"
285;,;285;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");"
286;,;286;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
287;,;287;,;0;,;0;,;1;,;4;,;3;,;0;,;0;,;2;,;3;");"
288;,;288;,;0;,;0;,;1;,;1;,;1;,;0;,;0;,;0;,;0;");"
289;,;289;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
290;,;290;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
291;,;291;,;0;,;0;,;2;,;2;,;0;,;0;,;0;,;1;,;0;");"
292;,;292;,;0;,;0;,;0;,;2;,;1;,;0;,;0;,;1;,;2;");"
293;,;293;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
294;,;294;,;0;,;0;,;0;,;3;,;2;,;0;,;0;,;2;,;1;");"
295;,;295;,;1;,;0;,;0;,;0;,;0;,;0;,;0;,;1;,;0;");"
296;,;296;,;0;,;0;,;1;,;2;,;3;,;0;,;0;,;1;,;0;");"
297;,;297;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
298;,;298;,;0;,;0;,;0;,;3;,;0;,;0;,;0;,;0;,;0;");"
