id_Participantes;;id_Acidente;;pessoas;;mortos;;feridos_leves;;feridos_graves;;ilesos;;ignorados;;feridos;;veiculos;;;;;
296;,;296;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
297;,;297;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
298;,;298;,;2;,;0;,;0;,;1;,;0;,;1;,;1;,;2;");";;;;
299;,;299;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
300;,;300;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
301;,;301;,;3;,;0;,;1;,;1;,;1;,;0;,;2;,;3;");";;;;
302;,;302;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
303;,;303;,;2;,;0;,;2;,;0;,;0;,;0;,;2;,;1;");";;;;
304;,;304;,;6;,;0;,;1;,;0;,;5;,;0;,;1;,;3;");";;;;
305;,;305;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
306;,;306;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;;;
307;,;307;,;5;,;0;,;1;,;0;,;4;,;0;,;1;,;4;");";;;;
308;,;308;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
